ScaleName,vVar,modelCombo,Estimator,N,Group,covPiVi ci.l,covPiVi ci.u,covPiVi est,covPiVi est.bf,covPiVi est.stars,covPiVi pval,covPiVi pVar,covPiVi se,covPiVi se.d,covPsVs ci.l,covPsVs ci.u,covPsVs est,covPsVs est.bf,covPsVs est.stars,covPsVs pval,covPsVs pVar,covPsVs se,covPsVs se.d,covPVwithin ci.l,covPVwithin ci.u,covPVwithin est,covPVwithin est.bf,covPVwithin est.stars,covPVwithin pval,covPVwithin pVar,covPVwithin se,covPVwithin se.d,PtoP ci.l,PtoP ci.u,PtoP est,PtoP est.bf,PtoP est.stars,PtoP pval,PtoP pVar,PtoP se,PtoP se.d,PtoV ci.l,PtoV ci.u,PtoV est,PtoV est.bf,PtoV est.stars,PtoV pval,PtoV pVar,PtoV se,PtoV se.d,rPiVi ci.l,rPiVi ci.u,rPiVi est,rPiVi est.bf,rPiVi est.stars,rPiVi pval,rPiVi pVar,rPiVi se,rPiVi se.d,rPsVs ci.l,rPsVs ci.u,rPsVs est,rPsVs est.bf,rPsVs est.stars,rPsVs pval,rPsVs pVar,rPsVs se,rPsVs se.d,rPVwithin ci.l,rPVwithin ci.u,rPVwithin est,rPVwithin est.bf,rPVwithin est.stars,rPVwithin pval,rPVwithin pVar,rPVwithin se,rPVwithin se.d,VtoP ci.l,VtoP ci.u,VtoP est,VtoP est.bf,VtoP est.stars,VtoP pval,VtoP pVar,VtoP se,VtoP se.d,VtoV ci.l,VtoV ci.u,VtoV est,VtoV est.bf,VtoV est.stars,VtoV pval,VtoV pVar,VtoV se,VtoV se.d
.Volatility,mvi,Linear_Linear,MLR,NA,EARLIER,-28.83116,-0.0348399999999991,-14.433,\textbf{-14.43},*-14.43*,0.049,bfas_nv,7.346,7.35,-0.12292,0.08092,-0.021,-0.02,-0.02,0.688,bfas_nv,0.052,0.05,-9.1354,-0.9426,-5.039,\textbf{-5.04},*-5.04*,0.016,bfas_nv,2.09,2.09,0.00244,0.24156,0.122,\textbf{0.12},*0.12*,0.046,bfas_nv,0.061,0.06,-0.05016,0.03216,-0.009,-0.01,-0.01,0.662,bfas_nv,0.021,0.02,-14.5173898899786,14.2789301100214,-0.119229889978572,\textbf{-0.12},*-0.12*,0.049,bfas_nv,7.346,7.35,-0.421683998297185,-0.217843998297185,-0.319763998297185,-0.32,-0.32,0.688,bfas_nv,0.052,0.05,-4.21933264379732,3.97346735620268,-0.122932643797322,\textbf{-0.12},*-0.12*,0.016,bfas_nv,2.09,2.09,-0.3918,0.1178,-0.137,-0.14,-0.14,0.295,bfas_nv,0.13,0.13,0.04888,0.33112,0.19,\textbf{0.19},*0.19*,0.008,bfas_nv,0.072,0.07
.Volatility,mvi,Linear_Linear,MLR,NA,LATER,-28.83116,-0.0348399999999991,-14.433,\textbf{-14.43},*-14.43*,0.049,bfas_nv,7.346,7.35,-0.12292,0.08092,-0.021,-0.02,-0.02,0.688,bfas_nv,0.052,0.05,-6.57484,0.20284,-3.186,-3.19,-3.19,0.065,bfas_nv,1.729,1.73,0.10636,0.43564,0.271,\textbf{0.27ª},*0.27ª*,0.001,bfas_nv,0.084,0.08,-0.04204,0.05204,0.005,0.01,0.01,0.827,bfas_nv,0.024,0.02,-14.5173898899786,14.2789301100214,-0.119229889978572,\textbf{-0.12},*-0.12*,0.049,bfas_nv,7.346,7.35,-0.421683998297185,-0.217843998297185,-0.319763998297185,-0.32,-0.32,0.688,bfas_nv,0.052,0.05,-3.4911075441961,3.2865724558039,-0.102267544196103,-0.10,-0.10,0.065,bfas_nv,1.729,1.73,-0.36112,0.21512,-0.073,-0.07,-0.07,0.618,bfas_nv,0.147,0.15,-0.05432,0.20832,0.077,0.08,0.08,0.246,bfas_nv,0.067,0.07
.Volatility,usi,Linear_Linear,MLR,864,ALL,1.05328,56.74472,28.899,\textbf{28.90},*28.90*,0.042,bfas_nv,14.207,14.21,-0.20072,0.21872,0.009,0.01,0.01,0.932,bfas_nv,0.107,0.11,0.390840000000001,12.82116,6.606,\textbf{6.61},*6.61*,0.037,bfas_nv,3.171,3.17,0.06704,0.26696,0.167,\textbf{0.17ª},*0.17ª*,0.001,bfas_nv,0.051,0.05,-0.1026,0.0346,-0.034,-0.03,-0.03,0.343,bfas_nv,0.035,0.04,-27.7272723277403,27.9641676722597,0.118447672259663,\textbf{0.12},*0.12*,0.042,bfas_nv,14.207,14.21,-0.138255408109518,0.281184591890482,0.0714645918904819,0.07,0.07,0.932,bfas_nv,0.107,0.11,-6.13241210707213,6.29790789292787,0.082747892927873,\textbf{0.08},*0.08*,0.037,bfas_nv,3.171,3.17,-0.00615999999999998,0.17416,0.084,0.08,0.08,0.068,bfas_nv,0.046,0.05,0.07808,0.28192,0.18,\textbf{0.18ª},*0.18ª*,0.000,bfas_nv,0.052,0.05
.Volatility,usi,Linear_Linear,MLR,NA,D2,0.563279999999999,57.62672,29.095,\textbf{29.09},*29.09*,0.046,bfas_nv,14.557,14.56,-0.21056,0.22456,0.007,0.01,0.01,0.950,bfas_nv,0.111,0.11,-6.85424,14.87824,4.012,4.01,4.01,0.469,bfas_nv,5.544,5.54,-0.01056,0.32656,0.158,0.16,0.16,0.066,bfas_nv,0.086,0.09,-0.17076,0.04876,-0.061,-0.06,-0.06,0.275,bfas_nv,0.056,0.06,-28.4129995794551,28.6504404205449,0.118720420544937,\textbf{0.12},*0.12*,0.046,bfas_nv,14.557,14.56,-0.158101160998944,0.277018839001056,0.0594588390010563,0.06,0.06,0.950,bfas_nv,0.111,0.11,-10.8197739533111,10.9127060466889,0.0464660466888723,0.05,0.05,0.469,bfas_nv,5.544,5.54,-0.12364,0.20564,0.041,0.04,0.04,0.629,bfas_nv,0.084,0.08,0.01348,0.35452,0.184,\textbf{0.18},*0.18*,0.034,bfas_nv,0.087,0.09
.Volatility,usi,Linear_Linear,MLR,NA,D3,0.563279999999999,57.62672,29.095,\textbf{29.09},*29.09*,0.046,bfas_nv,14.557,14.56,-0.21056,0.22456,0.007,0.01,0.01,0.950,bfas_nv,0.111,0.11,-3.03612,18.31612,7.64,7.64,7.64,0.161,bfas_nv,5.447,5.45,-0.0712,0.2032,0.066,0.07,0.07,0.349,bfas_nv,0.07,0.07,-0.22156,0.01756,-0.102,-0.10,-0.10,0.093,bfas_nv,0.061,0.06,-28.4129995794551,28.6504404205449,0.118720420544937,\textbf{0.12},*0.12*,0.046,bfas_nv,14.557,14.56,-0.158101160998944,0.277018839001056,0.0594588390010563,0.06,0.06,0.950,bfas_nv,0.111,0.11,-10.5743687451893,10.7778712548107,0.101751254810747,0.10,0.10,0.161,bfas_nv,5.447,5.45,-0.0632,0.2112,0.074,0.07,0.07,0.290,bfas_nv,0.07,0.07,0.06224,0.37976,0.221,\textbf{0.22},*0.22*,0.007,bfas_nv,0.081,0.08
.Volatility,usi,Linear_Linear,MLR,NA,D4,0.563279999999999,57.62672,29.095,\textbf{29.09},*29.09*,0.046,bfas_nv,14.557,14.56,-0.21056,0.22456,0.007,0.01,0.01,0.950,bfas_nv,0.111,0.11,-2.93388,18.73588,7.901,7.90,7.90,0.153,bfas_nv,5.528,5.53,0.15036,0.57764,0.364,\textbf{0.36ª},*0.36ª*,0.001,bfas_nv,0.109,0.11,-0.05636,0.20236,0.073,0.07,0.07,0.267,bfas_nv,0.066,0.07,-28.4129995794551,28.6504404205449,0.118720420544937,\textbf{0.12},*0.12*,0.046,bfas_nv,14.557,14.56,-0.158101160998944,0.277018839001056,0.0594588390010563,0.06,0.06,0.950,bfas_nv,0.111,0.11,-10.7311464798671,10.9386135201329,0.103733520132883,0.10,0.10,0.153,bfas_nv,5.528,5.53,0.00668000000000002,0.36732,0.187,\textbf{0.19},*0.19*,0.043,bfas_nv,0.092,0.09,-0.08668,0.33668,0.125,0.12,0.12,0.248,bfas_nv,0.108,0.11
.Volatility,usi,Linear_Linear,MLR,NA,D5,0.563279999999999,57.62672,29.095,\textbf{29.09},*29.09*,0.046,bfas_nv,14.557,14.56,-0.21056,0.22456,0.007,0.01,0.01,0.950,bfas_nv,0.111,0.11,-9.89708,23.12108,6.612,6.61,6.61,0.432,bfas_nv,8.423,8.42,-0.09528,0.26928,0.087,0.09,0.09,0.348,bfas_nv,0.093,0.09,-0.1738,0.2378,0.032,0.03,0.03,0.758,bfas_nv,0.105,0.10,-28.4129995794551,28.6504404205449,0.118720420544937,\textbf{0.12},*0.12*,0.046,bfas_nv,14.557,14.56,-0.158101160998944,0.277018839001056,0.0594588390010563,0.06,0.06,0.950,bfas_nv,0.111,0.11,-16.4130818724728,16.6050781275272,0.0959981275271979,0.10,0.10,0.432,bfas_nv,8.423,8.42,-0.09104,0.29704,0.103,0.10,0.10,0.299,bfas_nv,0.099,0.10,-0.22576,0.48376,0.129,0.13,0.13,0.475,bfas_nv,0.181,0.18
.Volatility,usi,Linear_Linear,MLR,NA,EARLIER,-0.0279199999999982,56.23192,28.102,28.10,28.10,0.050,bfas_nv,14.352,14.35,-0.20364,0.22364,0.01,0.01,0.01,0.930,bfas_nv,0.109,0.11,-1.99892,13.39492,5.698,5.70,5.70,0.147,bfas_nv,3.927,3.93,0.00736000000000001,0.23864,0.123,\textbf{0.12},*0.12*,0.038,bfas_nv,0.059,0.06,-0.15932,0.00532000000000001,-0.077,-0.08,-0.08,0.062,bfas_nv,0.042,0.04,-28.0154154256762,28.2444245743238,0.114504574323772,0.11,0.11,0.050,bfas_nv,14.352,14.35,-0.122375720301101,0.304904279698899,0.0912642796988989,0.09,0.09,0.930,bfas_nv,0.109,0.11,-7.62731711498507,7.76652288501493,0.0696028850149311,0.07,0.07,0.147,bfas_nv,3.927,3.93,-0.05376,0.16576,0.056,0.06,0.06,0.315,bfas_nv,0.056,0.06,0.0824,0.3176,0.2,\textbf{0.20ª},*0.20ª*,0.001,bfas_nv,0.06,0.06
.Volatility,usi,Linear_Linear,MLR,NA,LATER,-0.0279199999999982,56.23192,28.102,28.10,28.10,0.050,bfas_nv,14.352,14.35,-0.20364,0.22364,0.01,0.01,0.01,0.930,bfas_nv,0.109,0.11,-1.33676,19.07076,8.867,8.87,8.87,0.088,bfas_nv,5.206,5.21,0.11364,0.47036,0.292,\textbf{0.29ª},*0.29ª*,0.001,bfas_nv,0.091,0.09,-0.03956,0.19956,0.08,0.08,0.08,0.190,bfas_nv,0.061,0.06,-28.0154154256762,28.2444245743238,0.114504574323772,0.11,0.11,0.050,bfas_nv,14.352,14.35,-0.122375720301101,0.304904279698899,0.0912642796988989,0.09,0.09,0.930,bfas_nv,0.109,0.11,-10.086764664983,10.320755335017,0.116995335016956,0.12,0.12,0.088,bfas_nv,5.206,5.21,0.01304,0.31096,0.162,\textbf{0.16},*0.16*,0.032,bfas_nv,0.076,0.08,-0.05532,0.30532,0.125,0.12,0.12,0.174,bfas_nv,0.092,0.09
.Volatility,vrt_col,Linear_Linear,MLR,864,ALL,-59.23512,3.47312,-27.881,-27.88,-27.88,0.081,bfas_nv,15.997,16.00,-0.38116,0.09316,-0.144,-0.14,-0.14,0.234,bfas_nv,0.121,0.12,-7.69804,8.76204,0.532,0.53,0.53,0.899,bfas_nv,4.199,4.20,0.077,0.273,0.175,\textbf{0.17ª},*0.17ª*,0.001,bfas_nv,0.05,0.05,-0.07,0.126,0.028,0.03,0.03,0.578,bfas_nv,0.05,0.05,-31.4596765916081,31.2485634083919,-0.105556591608145,-0.11,-0.11,0.081,bfas_nv,15.997,16.00,-0.89640778791836,-0.42208778791836,-0.65924778791836,-0.66,-0.66,0.234,bfas_nv,0.121,0.12,-8.22480241649196,8.23527758350804,0.00523758350804117,0.01,0.01,0.899,bfas_nv,4.199,4.20,-0.0256,0.1116,0.043,0.04,0.04,0.214,bfas_nv,0.035,0.04,0.04408,0.24792,0.146,\textbf{0.15},*0.15*,0.005,bfas_nv,0.052,0.05
